"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"1","005930","삼성전자","83,000","1,000","+1.22%","100","4,954,920","5,969,783",55.06,"27,784,056","22.67","8.69"
"2","000660","SK하이닉스","125,000","2,500","+2.04%","5,000","910,003","728,002",49.94,"5,604,756","31.71","4.25"
"3","051910","LG화학","950,000","33,000","+3.60%","5,000","670,627","70,592",43.07,"397,684","88.76","1.84"
"4","005935","삼성전자우","73,300","200","+0.27%","100","603,176","822,887",79.47,"4,490,145","20.02","N/A"
"5","035420","NAVER","348,000","5,000","+1.46%","100","571,637","164,263",57.08,"984,863","69.28","10.56"
"6","207940","삼성바이오로직스","813,000","20,000","+2.52%","2,500","537,921","66,165",10.49,"137,759","151.37","4.77"
"7","006400","삼성SDI","745,000","11,000","+1.50%","5,000","512,296","68,765",44.1,"435,137","254.18","2.94"
"8","005380","현대차","238,500","9,500","+4.15%","5,000","509,599","213,668",30.99,"1,785,427","56.99","4.32"
"9","068270","셀트리온","371,000","47,000","+14.51%","1,000","500,842","134,998",20.85,"5,971,066","100.27","11.19"
"10","035720","카카오","441,500","500","+0.11%","500","390,996","88,561",33.76,"905,986","-490.01","-5.81"
"11","000270","기아차","90,000","7,500","+9.09%","5,000","364,827","405,363",35.1,"7,898,021","41.82","6.50"
"12","012330","현대모비스","335,500","18,000","+5.67%","5,000","318,908","95,055",41.03,"662,311","20.46","7.28"
"13","096770","SK이노베이션","316,000","36,000","+12.86%","5,000","292,191","92,466",23.36,"3,308,739","-12.02","-0.20"
"14","066570","LG전자","158,000","5,000","+3.27%","5,000","258,564","163,648",33.4,"3,595,604","34.32","0.22"
"15","051900","LG생활건강","1,564,000","7,000","+0.45%","5,000","244,269","15,618",45.84,"38,611","35.04","20.32"
"16","028260","삼성물산","130,500","500","+0.38%","100","243,888","186,887",14.83,"986,028","21.86","4.77"
"17","034730","SK","329,000","18,000","+5.79%","200","231,485","70,360",21.57,"581,239","1,388.19","4.31"
"18","005490","POSCO","253,000","7,500","+3.05%","5,000","220,583","87,187",50.92,"385,826","23.17","4.18"
"19","036570","엔씨소프트","953,000","0","0.00%","500","209,222","21,954",49.88,"82,627","37.29","14.72"
"20","017670","SK텔레콤","245,500","1,500","+0.61%","500","198,231","80,746",35.06,"364,752","18.08","3.92"
"21","003550","LG","103,000","3,900","+3.94%","5,000","177,734","172,557",34.76,"487,713","14.56","5.87"
"22","105560","KB금융","42,100","1,800","+4.47%","5,000","175,055","415,808",66.31,"1,992,832","5.14","8.92"
"23","055550","신한지주","31,450","800","+2.61%","5,000","162,471","516,600",58.33,"2,049,541","4.51","9.09"
"24","009150","삼성전기","206,000","2,000","+0.98%","5,000","153,869","74,694",35.44,"651,018","42.20","10.18"
"25","018260","삼성에스디에스","194,000","1,500","-0.77%","500","150,113","77,378",11.66,"328,559","28.64","11.76"
"26","015760","한국전력","22,850","0","0.00%","5,000","146,689","641,964",17.06,"4,281,091","158.68","-3.42"
